n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time, selection_cmp, selection_swaps, selection_time
0,             0,               0,              2,         0,           0,          0,        3,          0,         1,             0,               0,              0
1,             0,               0,              0,         0,           0,          0,        6,          1,         2,             1,               0,              0
2,             1,               0,              0,         7,           1,          2,       16,          4,         4,             3,               0,              1
3,             3,               2,              1,        18,           2,          3,       24,          7,         4,             6,               2,              2
4,             6,               4,              2,        25,           3,          3,       37,         10,         5,            10,               2,              2
5,             9,               6,              2,        41,           5,          6,       48,         13,         7,            15,               4,              2
6,            12,               8,              3,        52,           6,          7,       67,         22,        10,            21,               4,              4
7,            18,              13,              3,        63,           6,         10,       80,         27,        13,            28,               5,              4
8,            19,              13,              4,        82,           7,          8,      108,         38,        29,            36,               5,              5
9,            27,              20,              5,        87,           7,         12,      126,         44,        15,            45,               4,              5
